match_name,date,team_name,clean_sheet_yes,clean_sheet_no
Newcastle v Chelsea,1766233800,Newcastle,4.15,1.18
Newcastle v Chelsea,1766233800,Chelsea,3.78,1.22
Brighton v Sunderland,1766242800,Brighton,2.35,1.52
Brighton v Sunderland,1766242800,Sunderland,5.85,1.1
Wolves v Brentford,1766242800,Wolves,4.55,1.15
Wolves v Brentford,1766242800,Brentford,2.6,1.43
Man City v West Ham,1766242800,Man City,2.03,1.7
Man City v West Ham,1766242800,West Ham,16.25,1.01
Bournemouth v Burnley,1766242800,Bournemouth,2.21,1.59
Bournemouth v Burnley,1766242800,Burnley,7.3,1.06
Tottenham v Liverpool,1766251800,Spurs,5.25,1.12
Tottenham v Liverpool,1766251800,Liverpool,3.26,1.28
Leeds v Crystal Palace,1766260800,Leeds,3.32,1.27
Leeds v Crystal Palace,1766260800,Crystal Palace,3.24,1.29
Everton v Arsenal,1766260800,Everton,5.1,1.12
Everton v Arsenal,1766260800,Arsenal,2.06,1.68
Aston Villa v Man Utd,1766334600,Aston Villa,3.5,1.25
Aston Villa v Man Utd,1766334600,Man Utd,4.9,1.13
Fulham v Nottm Forest,1766433600,Fulham,3.02,1.32
Fulham v Nottm Forest,1766433600,Nott'm Forest,3.66,1.23
